alamat,BAE,industri,sub_industri,email,fax,kegiatan_usaha_utama,kode_emiten,nama_emiten,NPWP,papan_pencatatan,sektor,sub_sektor,tanggal_pencatatan,telepon,website;;;;;;
"Jl Pulo Ayang Raya Blok OR No. 1
Kawasan Industri Pulogadung
Jakarta,PT. Raya Saham Registra,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Investor@astra-agro.co.id,""461-6655, 461-6677, 461-6688"",Agriculture Plantation,AALI,Astra Agro Lestari Tbk,01.334.427.0-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id";;;;;;
Sahid Sudirman Centre Lt. 10, Jl. Jend. Sudirman No. 86, Jakarta 10220,PT. Adimitra Jasa Korpora,Media,Penerbitan,corsec@mahakax.com,(021) 573 9210,Media dan Percetakan,ABBA,Mahaka Media Tbk,01.609.052.4-054.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2002-04-03T00:00:00,(021) 573 9203,www.mahakamedia.com;;;;;;
Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan ,PT. Raya Saham Registra,Asuransi,Asuransi Umum,contactus@abda.co.id,5140 1698 ,Asuransi Kerugian ,ABDA,Asuransi Bina Dana Arta Tbk,01.362.014.1-054.000 ,Pengembangan,Keuangan,Asuransi,1989-07-06T00:00:00,5140 1688,www.abda.co.id;;;;;;
Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560,PT. Datindo Entrycom,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ,ABMM,ABM Investama Tbk,02.504.191.4-054.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,2011-12-06T00:00:00,021-29976767,www.abm-investama.com;;;;;;
"Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610,PT. EDI Indonesia,Ritel Khusus,Ritel Barang Rumah Tangga,	toto@acehardware.co.id,	021 - 5824022,Perdagangan,ACES,Ace Hardware Indonesia Tbk,	01.721.123.6-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-11-06T00:00:00,	021 - 5822222,www.acehardware.co.id";;;;;;
ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160,PT. Sinartama Gunita,Konstruksi Bangunan,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,Jasa Konstruksi untuk bangunan komersial dan infrastruktur,ACST,PT Acset Indonusa Tbk.,01.709.626.4-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2013-06-24T00:00:00,(021) 3511961,www.acset.co;;;;;;
"Jl. Pengantin Ali No. 88, Ciracas
Kota Jakarta Timur, DKI Jakarta 13740,,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@adcp.co.id,(021) 228 220 81,Perhotelan dan Real Estate,ADCP,PT Adhi Commuter Properti Tbk,85.227.029.7-093.000,Utama,Properti & Real Estat,Properti & Real Estat,2021-05-21T00:00:00,(021) 228 229 80,www.adcp.co.id";;;;;;
"Perkantoran Hijau Arkadia Tower C Lantai 15
Jl. TB. Simatupang Kav. 88
Jakarta 12520
,PT. Raya Saham Registra,Minuman,Minuman Ringan,wisnu.adji@akashainternational.com,021 - 78845549"; 78845547,Minuman dan  Makanan Ringan,ADES,Akasha Wira International Tbk  Tbk,01.371.491.0-054.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,1994-06-13T00:00:00,021-27545000,www.akashainternational.com;;;;;
Jalan Raya Pasar Minggu Km. 18 Jakarta 12510,,Konstruksi Bangunan,Konstruksi Bangunan,adhi@adhi.co.id,021-7975311,Konstruksi,ADHI,PT Adhi Karya (Persero) Tbk.,01.001.610.3-051.000,Utama,Infrastruktur,Konstruksi Bangunan,2004-03-18T00:00:00,021-7975312,www.adhi.co.id;;;;;;
"Millennium Centennial Center Lantai 53, 56-61, Jl. Jenderal Sudirman Kav. 25 Jakarta 12920,,Pembiayaan Konsumen,Pembiayaan Konsumen,af.corsec@adira.co.id,021-3973 4949,Pembiayaan,ADMF,Adira Dinamika Multi Finance Tbk,01.346.494.6-091.000,Utama,Keuangan,Jasa Pembiayaan,2004-03-31T00:00:00,""021-3973 3232, 021-3973 3322"",www.adira.co.id";;;;;;
Gedung Wisma 46 Kota BNI LT.20 Jl Jend. Sudirman Kav 1 RT.010 RW. 009 Karet Tengsin Tanah Abang Kota Adm. Jakarta Pusat DKI Jakarta 10220 ,PT. Datindo Entrycom,Barang Kimia,Barang Kimia Dasar,corporate@polychemindo.com,(62-21) 57945832-34,Kimia dan Tekstil ,ADMG,Polychem Indonesia Tbk,01.326.008.8-092.000,Utama,Barang Baku,Barang Baku,1993-10-20T00:00:00,(62-21) 5744848,www.polychemindo.com;;;;;;
"Cyber 2 Tower Lantai 34, Jl. H.R. Rasuna Said Blok X-5, No.13 Jakarta Selatan 12950,PT. Ficomindo Buana Registrar,Batu Bara,Produksi Batu Bara,corsec@adarominerals.id,(021) 2553 3059, Pertambangan,ADMR,PT Adaro Minerals Indonesia Tbk,02.672.163.9-063.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2022-01-03T00:00:00,(021) 2553 3060,www.adarominerals.id";;;;;;
Menara Karya 23rd Floor Jl. H.R. Rasuna Said, Block X-5, Kav. 1-2 Jakarta 12950 ,PT. Ficomindo Buana Registrar,Batu Bara,Produksi Batu Bara,mahardika.putranto@adaro.com ;" aditya.sudjono@adaro.com ,021-5211266 ,Pertambangan Batubara(Coal Mining),ADRO,Adaro Energy Indonesia Tbk,02.399.244.9-091.000,Utama,Energi,""Minyak, Gas & Batu Bara"",2008-07-16T00:00:00,021-25533000 ,www.adaro.com";;;;;
"Dr. Makaliwe Raya No. 16B, RT.008, RW.004
Grogol Petamburan, Jakarta Barat
,PT. Sharestar Indonesia,Produk Makanan Pertanian,""Ikan, Daging & Produk Unggas"",admin@asiamina.com,(021) 21192523,perdagangan dan industri rumput laut,AGAR,PT Asia Sejahtera Mina Tbk,02.881.392.1-036.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2019-12-02T00:00:00,(021) 21192523,www.asiamina.com";;;;;;
"Gedung UGM - Samator Pendidikan Tower A Lantai 5-6  Jl. Dr. Sahardjo No. 83, Manggarai Tebet, Jakarta Selatan 12850,,Barang Kimia,Barang Kimia Dasar,corsec@anekagas.com,021 - 83709911,""memproduksi, memasarkan dan menjual berbagai macam gas untuk industri dan produk-produk terkait di Republik Indonesia dalam bentuk gas, cair ataupun padat"",AGII,PT Aneka Gas Industri Tbk.,01.002.124.4-038.000,Utama,Barang Baku,Barang Baku,2016-09-28T00:00:00,021 - 83709111,www.anekagas.com";;;;;;
"Gedung Bank Raya Jl.Warung Jati Barat No.139 (d/h Jl.Mampang Prapatan Raya No.139 A) Jaksel 12740 ,,Bank,Bank,humas@bankraya.co.id ,021-79199950 ,Perbankan,AGRO,PT Bank Raya Indonesia Tbk,01.347.428.3-054.000,Utama,Keuangan,Bank,2003-08-08T00:00:00,021-79199980 Fax 		,bankraya.co.id ";;;;;;
