alamat;BAE;industri;sub_industri;email;fax;kegiatan_usaha_utama;kode_emiten;nama_emiten;NPWP;papan_pencatatan;sektor;sub_sektor;tanggal_pencatatan;telepon;website;;;;;;;
Jl Pulo Ayang Raya Blok OR No. 1 Sahid Sudirman Centre Lt. 10; Jl. Jend. Sudirman No. 86; Jakarta 10220;PT. Adimitra Jasa Korpora;Media;Penerbitan;corsec@mahakax.com;(021) 573 9210;Media dan Percetakan;ABBA;Mahaka Media Tbk;01.609.052.4-054.000;Pengembangan;Barang Konsumen Non-Primer;Media & Hiburan;2002-04-03T00:00:00;(021) 573 9203;www.mahakamedia.com;;;;;
Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan ;PT. Raya Saham Registra;Asuransi;Asuransi Umum;contactus@abda.co.id;5140 1698 ;Asuransi Kerugian ;ABDA;Asuransi Bina Dana Arta Tbk;01.362.014.1-054.000 ;Pengembangan;Keuangan;Asuransi;1989-07-06T00:00:00;5140 1688;www.abda.co.id;;;;;;;
Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560;PT. Datindo Entrycom;Perusahaan Holding Multi-sektor;Perusahaan Holding Multi-sektor;corporate.secretary@abm-investama.co.id;021-29976768;berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ;ABMM;ABM Investama Tbk;02.504.191.4-054.000;Utama;Perindustrian;Perusahaan Holding Multi Sektor;2011-12-06T00:00:00;021-29976767;www.abm-investama.com;;;;;;;
Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1; Kembangan Selatan; Kembangan; Jakarta Barat 11610;PT. EDI Indonesia;Ritel Khusus;Ritel Barang Rumah Tangga;;toto@acehardware.co.id;;021 - 5824022;Perdagangan;ACES;Ace Hardware Indonesia Tbk;;01.721.123.6-054.000;Utama;Barang Konsumen Non-Primer;Perdagangan Ritel;2007-11-06T00:00:00;;021 - 5822222;www.acehardware.co.id
ACSET Building; Jalan Majapahit No.26; Kelurahan Petojo Selatan; Kecamatan Gambir; Jakarta 10160;PT. Sinartama Gunita;Konstruksi Bangunan;Konstruksi Bangunan;corporate.secretary@acset.co;(021) 3441413;Jasa Konstruksi untuk bangunan komersial dan infrastruktur;ACST;PT Acset Indonusa Tbk.;01.709.626.4-054.000;Utama;Infrastruktur;Konstruksi Bangunan;2013-06-24T00:00:00;(021) 3511961;www.acset.co;;;
Jalan Raya Pasar Minggu Km. 18 Jakarta 12510;;Konstruksi Bangunan;Konstruksi Bangunan;adhi@adhi.co.id;021-7975311;Konstruksi;ADHI;PT Adhi Karya (Persero) Tbk.;01.001.610.3-051.000;Utama;Infrastruktur;Konstruksi Bangunan;2004-03-18T00:00:00;021-7975312;www.adhi.co.id;;;;;;;
Millennium Centennial Center Lantai 53; 56-61; Jl. Jenderal Sudirman Kav. 25 Jakarta 12920;;Pembiayaan Konsumen;Pembiayaan Konsumen;af.corsec@adira.co.id;021-3973 4949;Pembiayaan;ADMF;Adira Dinamika Multi Finance Tbk;01.346.494.6-091.000;Utama;Keuangan;Jasa Pembiayaan;2004-03-31T00:00:00;021-3973 3232, 021-3973 3322;www.adira.co.id;;;;;
Gedung Wisma 46 Kota BNI LT.20 Jl Jend. Sudirman Kav 1 RT.010 RW. 009 Karet Tengsin Tanah Abang Kota Adm. Jakarta Pusat DKI Jakarta 10220 ;PT. Datindo Entrycom;Barang Kimia;Barang Kimia Dasar;corporate@polychemindo.com;(62-21) 57945832-34;Kimia dan Tekstil ;ADMG;Polychem Indonesia Tbk;01.326.008.8-092.000;Utama;Barang Baku;Barang Baku;1993-10-20T00:00:00;(62-21) 5744848;www.polychemindo.com;;;;;;;
Cyber 2 Tower Lantai 34; Jl. H.R. Rasuna Said Blok X-5; No.13 Jakarta Selatan 12950;PT. Ficomindo Buana Registrar;Batu Bara;Produksi Batu Bara;corsec@adarominerals.id;(021) 2553 3059; Pertambangan;ADMR;PT Adaro Minerals Indonesia Tbk;02.672.163.9-063.000;Pengembangan;Energi;Minyak, Gas & Batu Bara;2022-01-03T00:00:00;(021) 2553 3060;www.adarominerals.id;;;;;
Menara Karya 23rd Floor Jl. H.R. Rasuna Said; Block X-5; Kav. 1-2 Jakarta 12950 ;PT. Ficomindo Buana Registrar;Batu Bara;Produksi Batu Bara;mahardika.putranto@adaro.com ;;;;;;;;;;;;;;;;
Gedung UGM - Samator Pendidikan Tower A Lantai 5-6  Jl. Dr. Sahardjo No. 83; Manggarai Tebet; Jakarta Selatan 12850;;Barang Kimia;Barang Kimia Dasar;corsec@anekagas.com;021 - 83709911;memproduksi, memasarkan dan menjual berbagai macam gas untuk industri dan produk-produk terkait di Republik Indonesia dalam bentuk gas, cair ataupun padat;AGII;PT Aneka Gas Industri Tbk.;01.002.124.4-038.000;Utama;Barang Baku;Barang Baku;2016-09-28T00:00:00;021 - 83709111;www.anekagas.com;;;;;
Gedung Bank Raya Jl.Warung Jati Barat No.139 (d/h Jl.Mampang Prapatan Raya No.139 A) Jaksel 12740 ;;Bank;Bank;humas@bankraya.co.id ;021-79199950 ;Perbankan;AGRO;PT Bank Raya Indonesia Tbk;01.347.428.3-054.000;Utama;Keuangan;Bank;2003-08-08T00:00:00;021-79199980 Fax ;;;bankraya.co.id ;;;;;
Wisma GKBI Suite UG-01 Jl. Jend. Sudirman No. 28 Jakarta 10210 Indonesia;PT. Adimitra Jasa Korpora;Bank;Bank;corsec@ibk.co.id;+62 21 5790 6888;Perbankan;AGRS;PT Bank IBK Indonesia Tbk.;01.311.830.2-073.000;Pengembangan;Keuangan;Bank;2014-12-22T00:00:00;+62 21 5790 8888;www.ibk.co.id;;;;;;;
Wisma 46 Kota BNI Lantai 33; Jl. Jend. Sudirman Kav. 1 Karet Tengsin Tanah Abang Jakarta Pusat 10220;PT. Datindo Entrycom;Asuransi;Asuransi Umum;harta@asuransi-harta.co.id;5727589;Asuransi Umum Konvensional;AHAP;Asuransi Harta Aman Pratama Tbk;01.360.902.9-054.000;Pengembangan;Keuangan;Asuransi;1990-09-14T00:00:00;5702060, 5746789 (hunting);www.asuransi-harta.co.id;;;;;;
Jl. Cipaku 1 No. 3; RT/RW 002/004; Kel. Petogogan Kec. Kebayoran Baru; Jakarta Selatan DKI 12170;PT. Sinartama Gunita;Batu Bara;Produksi Batu Bara;corporate@aims.co.id;(021) 7392909;Perdagangan Umum dan Distribusi;AIMS;Akbar Indomakmur Stimec Tbk;01.820.068.3-054.000;Pengembangan;Energi;Minyak, Gas & Batu Bara;2001-07-20T00:00:00;(021) 7221279;https://www.aims.co.id;;;;
Menara Astra Lantai 29; Jalan Jend. Sudirman Kav 5-6; Karet Tengsin; Jakarta Pusat 10220;;Makanan Olahan;Makanan Olahan;corporate.secretary@fksfs.co.id;021 - 50889838;Industri Mie;AISA;PT FKS Food Sejahtera Tbk;01.504.513.1-054.000;Utama;Barang Konsumen Primer;Makanan & Minuman;1997-06-11T00:00:00;021 - 50889898;www.fksfs.co.id;;;;
Grand Asia Afrika Residence; Commercial Area A-10; Jl. Karapitan No. 1; Paledang; Lengkong; Bandung; Jawa Barat 40261;PT. Adimitra Jasa Korpora;Pariwisata & Rekreasi;Hotel, Resor & Kapal Pesiar;info@kagumgroup.com;022-2035013;Pariwisata;AKKU;PT Anugerah Kagum Karya Utama Tbk;02.038.425.1-054.000;Pengembangan;Barang Konsumen Non-Primer;Jasa Konsumen;2004-11-01T00:00:00;022-2035013;kagumgroup.com;
Gedung Prosperity Tower; Lantai 51; Kawasan District 8; SCBD Lot. 28; Jl. Jend. Sudirman Kav. 52-53; Senayan; Kebayoran Baru; Jakarta Selatan;PT. Raya Saham Registra;Barang Kimia;Barang Kimia Khusus;theo@arghakarya.com;021-87902024, 8764155;Plastics and Packaging;AKPI;Argha Karya Prima Ind. Tbk;01.000.863.9-054.000;Pengembangan;Barang Baku;Barang Baku;1992-12-18T00:00:00;021-8572707;http://www.arghakarya.com
AKR Tower Lt.26; Jl. Panjang No.5 Kebon Jeruk; Jakarta Barat 11530;;Minyak & Gas;Penyimpanan & Distribusi Minyak & Gas;corporate.secretary@akr.co.id;(021) 531 1185;Perdagangan dan Distribusi BBM dan Bahan Kimia Dasar;AKRA;PT AKR Corporindo Tbk.;01.132.905.9-092.000;Utama;Energi;Minyak, Gas & Batu Bara;1994-10-03T00:00:00;(021) 531 1110;www.akr.co.id;;;;;
District 8;Treasury Tower Lantai 52;SCBD Lot 28;Jl.Jenderal Sudirman Kav 52-53;RT08 RW 06;Kel.Senayan;Kec.Kebayoran Baru;Jakarta Selatan 12190;PT. Sharestar Indonesia;Logistik & Pengantaran;Logistik & Pengantaran;agus.amirsyah@mesmineral.co.id;-;Securities Company;AKSI;PT Mineral Sumberdaya Mandiri Tbk;01.349.129-5-054-000;Pengembangan;Transportasi & Logistik;Logistik & Pengantaran;2001-07-13T00:00:00;2150105669;www.mesmineral.co.id
Kawasan Industri Cimareme; Jl. Cimareme II No. 14; Padalarang; Bandung Barat 40553 ;PT. Sinartama Gunita;Wadah & Kemasan;Wadah & Kemasan;kuswara@alkindo.co.id ;(022) 603 6489, 600 4508 ;Industri pengolahan kertas serta pemasaran dan penjualan hasil industri baik lokal maupun ekspor;ALDO;Alkindo Naratama Tbk;01.671.242.4-054.000 ;Pengembangan;Barang Baku;Barang Baku;2011-07-12T00:00:00; (022) 601 1220, 602 8277 ;www.alkindo.co.id ;;;;
" Jl. Kembang Jepun 38-40 Jawa Timur - Indonesia""";PT. Adimitra Jasa Korpora;Logam & Mineral;Alumunium;cs@alumindo.com;+62-31-3533055, 3533218;Metal and Alied Products;ALMI;Alumindo Light Metal Industry Tbk;01.122.572.9-092.000;Pengembangan;Barang Baku;Barang Baku;1997-01-02T00:00:00;+62-31-3531445, 3541040;www.alumindo.com;;;;;;;
Kp. Pasir Dalem RT.002 RW.002 Desa Babakan pari; Kecamatan Cidahu Kabupaten Sukabumi; Jawa Barat 43158 ;PT. Adimitra Jasa Korpora;Minuman;Minuman Ringan;corsec@ALTOspringswater.com ;(0266) 731 319 dan (021) 5301 620 ;Bergerak dalam bidang usaha makanan, minuman dan air mineral.;ALTO;Tri Banyan Tirta Tbk;01.761.303.5-054.000;Utama;Barang Konsumen Primer;Makanan & Minuman;2012-07-10T00:00:00;(0266) 735 813 dan (021) 5300 689;www.ALTOspringswater.com ;;;;;
The City Center Batavia Tower One Lantai 17 Jalan KH Mas Mansyur Kav. 126 Jakarta Pusat 10220;PT. Raya Saham Registra;Asuransi;Asuransi Umum;israeni@mag.co.id;(021) 7250223;Asuransi Kerugian ;AMAG;Asuransi Multi Artha Guna Tbk;01.108.165.0-054.000;Pengembangan;Keuangan;Asuransi;2005-12-23T00:00:00;(021) 2700590;www.mag.co.id;;;;;;;
APL Tower Unit OT/35/T5 Podomoro City; Jl. S. Parman Kav. 28; Tanjung Duren Selatan; Grogol Petamburan; Jakarta Barat 11470; Indonesia;PT. Bima Registra;Pengelola & Pengembang Real Estat;Pengembang & Operator Real Estat;info@mbagroup.id;(62-21) 2119 1008;Pembangunan kawasan industri dan jasa kawasan industri serta investasi pada Entitas Anak yang bergerak di bidang perhotelan;AMAN;PT Makmur Berkah Amanda Tbk.;02.480.197.9-617.001;Utama;Properti & Real Estat;Properti & Real Estat;2020-03-13T00:00:00;(62-21) 2119 2888;mbagroup.id;;
Jl. Basuki Rahmad No. 109; Surabaya;60271;PT. Datindo Entrycom;Bank;Bank;corsec@amarbank.co.id;(031) 9901595;Perbankan Umum Swasta;AMAR;PT Bank Amar Indonesia Tbk.;01.526.905.3-619.000;Pengembangan;Keuangan;Bank;2020-01-09T00:00:00;(031) 99015959;www.amarbank.co.id;;;;;
Jl. Ancol IX/5; Ancol Barat; Ancol-Pademangan Jakarta Utara-DKI Jakarta Raya 14430;PT. Datindo Entrycom;Produk & Perlengkapan Bangunan;Produk & Perlengkapan Bangunan;adimulya.sukmana@agc.com;021-6919245, 6918820;Ceramics, Glass, Porcelain ;AMFG;Asahimas Flat Glass Tbk;01.000.161.8-092.000;Utama;Perindustrian;Barang Perindustrian;1995-11-08T00:00:00;(021) 6904041 ext 1042;www.amfg.co.id;;;;;
Pacific Century Place; Lantai 18 SCBD Lot 10; Jl. Jendral Sudirman Kav 52-53;;;;;;;;;;;;;;;;;;;;
Jl. Jalur Sutera Barat Kav. 9; Alam Sutera; Kota Tangerang; Prov. Banten;;Perdagangan Ritel Barang Primer;Supermarket;corsec@sat.co.id / investor_relations@sat.co.id;021-80821556;Retail Trade ;AMRT;PT Sumber Alfaria Trijaya Tbk.;01.336.238.9-054.000;Utama;Barang Konsumen Primer;Perdagangan Ritel Barang Primer;2009-01-15T00:00:00;021-80821555;www.alfamart.co.id;;;;
Menara BTPN Lantai 40 Jalan Dr. Ide Anak Agung Gde Agung Kav. 5.5 - 5.6 Kawasan Mega Kuningan ;PT. Datindo Entrycom;Produk Makanan Pertanian;Perkebunan & Tanaman Pangan;corsec@anj-group.com ;(62-21) 2965 1788 ;Perdagangan, jasa dan pengoperasian perkebunan, pengolahan dan perdagangan produk kelapa sawit baik sendiri maupun melalui Entitas Anak, pengolahan dan perdagangan produk sagu serta produksi dan penggunaan energi terbarukan dan kelistrikan melalui Entitas Anak.;ANJT;PT Austindo Nusantara Jaya Tbk.;01.626.081.2-054.000 ;Utama;Barang Konsumen Primer;Makanan & Minuman;2013-05-08T00:00:00;(62-21) 2965 1777 ;www.anj-group.com ;;;;;;;
Jl.KH.EZ.Muttaqien No.94 RT.004/RW.002 Kelurahan Gembor Kecamatan Periuk Kota Tangerang 151333;PT. Adimitra Jasa Korpora;Barang Kimia;Barang Kimia Khusus;sec@asiaplast.co.id;021-5901464;Plastics and Packaging;APLI;Asiaplast Industries Tbk;01.564.831.4-054.000;Utama;Barang Baku;Barang Baku;2000-05-01T00:00:00;021-5901465;-;;;;;;;
